# Sesion:3 Fecha:2026-04-05 21:12:05 Shots:1 Duracion:11,71s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
3.0300,1235886,0.425537,-0.399475,-0.574280,0.574036,86.8388,0
3.0400,1235896,0.425415,-0.399658,-0.574463,0.573853,86.7962,0
3.0500,1235906,0.425293,-0.399780,-0.574646,0.573669,86.7563,0
3.0600,1235916,0.425293,-0.399780,-0.574768,0.573547,86.7344,0
3.0700,1235926,0.425293,-0.399658,-0.574829,0.573547,86.7380,0
3.0800,1235936,0.425354,-0.399475,-0.574829,0.573669,86.7606,0
3.0900,1235946,0.425476,-0.399231,-0.574768,0.573792,86.7808,0
3.1000,1235956,0.425476,-0.399109,-0.574829,0.573792,86.7852,0
3.1100,1235966,0.425415,-0.399109,-0.574951,0.573730,86.7704,0
3.1200,1235976,0.425354,-0.399170,-0.575073,0.573608,86.7444,0
3.1300,1235986,0.425293,-0.399292,-0.575195,0.573486,86.7222,0
3.1400,1235996,0.425232,-0.399292,-0.575256,0.573425,86.7152,0
3.1500,1236006,0.425293,-0.399292,-0.575195,0.573486,86.7283,0
3.1600,1236016,0.425415,-0.399170,-0.575134,0.573547,86.7448,0
3.1700,1236026,0.425476,-0.399048,-0.575073,0.573608,86.7488,0
3.1800,1236036,0.425537,-0.399048,-0.575073,0.573547,86.7413,0
3.1900,1236046,0.425537,-0.398987,-0.575195,0.573486,86.7306,0
3.2000,1236056,0.425598,-0.399048,-0.575256,0.573303,86.7210,0
3.2100,1236066,0.425720,-0.399048,-0.575378,0.573181,86.7210,0
3.2200,1236076,0.425781,-0.399048,-0.575439,0.572998,86.7257,0
3.2300,1236086,0.426086,-0.398987,-0.575500,0.572815,86.7356,0
3.2400,1236096,0.426208,-0.398926,-0.575439,0.572815,86.7538,0
3.2500,1236106,0.426392,-0.398804,-0.575378,0.572815,86.7784,0
3.2600,1236116,0.426514,-0.398682,-0.575378,0.572815,86.8000,0
3.2700,1236126,0.426636,-0.398560,-0.575378,0.572815,86.8140,0
3.2800,1236136,0.426636,-0.398560,-0.575378,0.572754,86.8172,0
3.2900,1236146,0.426636,-0.398560,-0.575439,0.572754,86.8167,0
